puzzle_id,solved,final_fitness,time_seconds,generations_run,population_size,mutation_rate,generations,selection_rate,random_selection_rate,nb_children,restart_after_n_stagnant
10,0,2,847.36,1000,5000,0.2,1000,0.1,0.1,10,100
9,0,4,71.57,1000,500,0.3,1000,0.1,0.3,5,100
1,0,4,650.15,1000,5000,0.05,1000,0.1,0.4,4,100
6,0,4,83.99,999,500,0.1,1000,0.1,0.1,10,100
1,0,4,71.4,1000,500,0.2,1000,0.3,0.1,5,100
10,0,4,256.67,1000,2000,0.05,1000,0.4,0.1,4,100
4,0,2,256.29,1000,2000,0.1,1000,0.4,0.1,4,100
0,0,4,644.84,1000,5000,0.3,1000,0.3,0.2,4,100
7,0,2,69.63,1000,500,0.1,1000,0.3,0.1,5,100
5,0,2,261.38,1000,2000,0.3,1000,0.2,0.3,4,100
4,0,4,64.58,1000,500,0.3,1000,0.3,0.2,4,100
4,0,3,647.57,1000,5000,0.3,1000,0.2,0.3,4,100
8,0,2,256.91,1000,2000,0.2,1000,0.3,0.2,4,100
2,0,2,710.48,1000,5000,0.3,1000,0.2,0.2,5,100
3,0,4,282.03,1000,2000,0.1,1000,0.2,0.2,5,100
5,0,4,71.09,1000,500,0.3,1000,0.3,0.1,5,100
5,0,2,640.48,1000,5000,0.2,1000,0.3,0.2,4,100
8,0,2,697.32,1000,5000,0.05,1000,0.2,0.2,5,100
10,0,4,257.57,1000,2000,0.2,1000,0.3,0.2,4,100
0,0,2,284.45,1000,2000,0.3,1000,0.2,0.2,5,100
1,0,2,712.4,1000,5000,0.3,1000,0.2,0.2,5,100
2,0,2,638.89,1000,5000,0.2,1000,0.2,0.3,4,100
9,0,4,843.18,1000,5000,0.1,1000,0.1,0.1,10,100
8,0,2,708.99,1000,5000,0.2,1000,0.1,0.3,5,100
4,0,2,645.54,1000,5000,0.3,1000,0.3,0.2,4,100
1,0,4,85.08,1000,500,0.2,1000,0.1,0.1,10,100
